"collision_id","borough","crash_date","crash_time","vehicle_1","vehicle_2","vehicle_3","contributing_vehicle_1","contributing_vehicle_2","contributing_vehicle_3"
"4456595","BROOKLYN","2021-07-08","13:26:00","Pick-up Truck","Bike","No additional car involved","Pedestrian/Bicyclist/Other Pedestrian Error/Confusion","No additional car involved","No additional car involved"
"4456903","QUEENS","2021-09-01","19:30:00","Sedan","No additional car involved","No additional car involved","Failure to Yield Right-of-Way","No additional car involved","No additional car involved"
"4456982","MANHATTAN","2021-09-10","15:20:00","Sedan","E-Bike","No additional car involved","Driver Inattention/Distraction","Driver Inattention/Distraction","No additional car involved"
"4456235","BRONX","2021-09-11","11:25:00","Sedan","Bike","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4455935","BROOKLYN","2021-09-11","21:30:00","Sedan","Chassis Cab","No additional car involved","Driver Inexperience","No additional car involved","No additional car involved"
"4456710","BRONX","2021-07-09","12:30:00","E-Bike","E-Bike","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4457021","QUEENS","2021-09-05","21:18:00","Sedan","Sedan","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4456134","QUEENS","2021-09-11","23:20:00","Sedan","Station Wagon/Sport Utility Vehicle","No additional car involved","Following Too Closely","No additional car involved","No additional car involved"
"4403773","BROOKLYN","2021-03-31","22:20:00","Sedan","Sedan","No additional car involved","Driver Inexperience","No additional car involved","No additional car involved"
"4405244","STATEN ISLAND","2021-04-06","22:58:00","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","No additional car involved","Failure to Yield Right-of-Way","Unsafe Speed","No additional car involved"
"4408143","BRONX","2021-04-16","16:35:00","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","No additional car involved","Unsafe Speed","No additional car involved","No additional car involved"
"4407638","BROOKLYN","2021-04-15","17:20:00","Sedan","Van","No additional car involved","Following Too Closely","No additional car involved","No additional car involved"
"4408038","BROOKLYN","2021-04-16","23:20:00","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","Unspecified","No additional car involved","No additional car involved"
"4407821","BROOKLYN","2021-04-14","15:16:00","Sedan","Sedan","No additional car involved","Passing Too Closely","No additional car involved","No additional car involved"
"4408259","BROOKLYN","2021-04-13","20:34:00","Sedan","No additional car involved","No additional car involved","Failure to Yield Right-of-Way","No additional car involved","No additional car involved"
"4408396","BROOKLYN","2021-04-14","21:04:00","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","No additional car involved","Drugs (illegal)","No additional car involved","No additional car involved"
"4407792","QUEENS","2021-04-16","11:00:00","Station Wagon/Sport Utility Vehicle","Bike","No additional car involved","Turning Improperly","No additional car involved","No additional car involved"
